Iteration 1,Iteration 2,H1 Total Purchased Energy from Peers [Wh],H2 Total Purchased Energy from Peers [Wh],H3 Total Purchased Energy from Peers [Wh],H3 Total Sold Energy from Peers [Wh],H4 Total Purchased Energy from Peers [Wh],H4 Total Sold Energy from Peers [Wh],H5 Total Purchased Energy from Peers [Wh],H6 Total Purchased Energy from Peers [Wh],H6 Total Sold Energy to Peers [Wh],H7 Total Purchased Energy from Peers [Wh],H8 Total Purchased Energy from Peers [Wh],H8 Total Sold Energy to Peers [Wh],H9 Total Purchased Energy from Peers [Wh],H10 Total Purchased Energy from Peers [Wh],H10 Total Sold Energy to Peers [Wh]
585,72,26740,31856,160,37199,13888,3667,27007,0,38841,26189,30,36337,26704,30,36560
586,72,26730,33506,160,37922,13862,3460,26997,0,39312,26179,30,36591,26694,30,36903
587,72,26720,35240,160,38021,13852,3667,26987,0,39337,26169,30,37502,26684,30,37345
588,72,26720,36990,160,38337,13852,4025,26987,0,39898,26169,30,37846,26684,30,37516
589,72,26727,38716,160,39269,13852,3898,26903,0,40515,26182,30,37654,26772,30,38036
590,72,26727,40466,160,39881,13852,3587,26903,0,40523,26182,30,38621,26772,30,38510
591,72,26717,42216,160,39834,13843,4137,26965,0,41488,26139,30,38904,26772,30,38509
592,72,26741,43922,160,40167,13875,3823,26984,0,41704,26172,30,39165,26708,30,39763
593,72,26756,45609,160,40509,13885,3713,26992,0,42276,26187,30,39583,26723,30,40291
594,72,26684,47251,160,41178,13885,4353,26999,0,42622,26200,30,39840,26883,30,40129
595,72,26783,48973,160,41881,13885,3900,27012,0,42794,26116,30,40391,26883,30,40906
596,72,26783,50715,160,41848,13893,4224,27012,0,43551,26116,30,40815,26883,30,41184
597,72,26972,50929,160,42430,14055,4041,27201,0,43472,26305,30,40978,27072,30,41833
598,72,26929,52070,160,42657,14078,4204,27158,0,43797,26262,30,41158,27029,30,41930
599,72,26899,53350,160,42825,14120,4272,27128,0,44373,26232,30,41910,26999,30,41568
600,72,26975,54440,160,43576,14088,4582,27127,0,43648,26402,30,42285,27089,30,42250
601,72,26953,53321,160,43132,14077,4460,27177,0,43771,26367,30,41697,27069,30,42124
602,72,26953,53425,160,43402,14119,4317,27177,0,44228,26367,30,41550,27069,30,41833
603,72,26961,53575,160,43113,14135,4891,27179,0,44046,26357,30,41587,27069,30,41859
604,72,26934,53765,160,43068,14134,5181,27152,0,43742,26337,30,41815,27020,30,41756
605,72,26943,53765,160,42626,14143,5246,27172,0,43924,26276,30,41947,27043,30,41819
606,72,26943,53765,160,42922,14143,5680,27172,0,43882,26276,30,41339,27043,30,41739
607,72,26911,52986,160,42625,14145,5143,27135,0,43633,26325,30,41366,27027,30,41982
608,72,26873,52288,160,42704,14055,4690,27102,0,43292,26206,30,41773,26973,30,41258
609,72,26841,50912,160,42070,14057,4955,27065,0,43140,26255,30,41060,26957,30,41082
610,72,26841,50912,160,41974,14057,4699,27065,0,43276,26255,30,41041,26957,30,41317
611,72,26841,50912,160,42324,14057,4505,27065,0,43274,26255,30,41098,26957,30,41106
612,72,26841,50912,160,42098,14057,4501,27065,0,43284,26255,30,41199,26957,30,41225
613,72,26841,50912,160,42451,14057,3793,27065,0,43475,26255,30,41036,26957,30,41552
614,72,26841,50912,160,42261,14057,3793,27065,0,43656,26255,30,41256,26957,30,41341
615,72,26841,50912,160,42269,14057,3622,27065,0,43435,26255,30,41574,26957,30,41407
616,72,26720,50850,160,42112,14032,3622,26904,0,43450,26279,30,40973,26765,30,41613
617,72,26693,50219,160,42016,14077,3622,26886,0,43396,26108,30,40880,26779,30,41068
618,72,26624,50689,160,42265,14047,3442,26841,0,43565,26020,30,40536,26784,30,41417
619,72,26575,49898,160,42093,14048,3271,26768,0,43084,25990,30,40461,26661,30,41251
620,72,26575,48148,160,41759,14048,3271,26768,0,42563,25990,30,40331,26661,30,40486
621,72,26519,46502,160,41014,13994,3271,26816,0,42135,25968,30,39812,26641,30,40428
622,72,26445,45239,160,40689,13996,3271,26574,0,41763,25880,30,39225,26556,30,39962
623,72,26273,44802,160,40128,13895,3271,26399,0,41275,25683,30,39309,26351,30,39640
624,72,26401,43460,160,39965,13895,3263,26499,0,41557,25852,30,38382,26439,30,39599
625,72,26385,42588,160,39810,13930,3263,26652,0,40819,25821,30,39071,26452,30,39085
626,72,26494,42355,160,38955,13966,5817,26506,0,40039,25801,30,38039,26366,30,38858
627,72,26397,40343,160,38512,13987,5817,26571,0,40105,25821,30,37526,26619,30,37998
628,72,26512,38593,160,38580,13987,5204,26613,0,39764,25759,30,36620,26524,30,38040
629,72,26355,36843,160,38025,13987,4232,26633,0,39101,25916,30,37199,26504,30,37901
630,72,26396,35252,160,37389,13955,4232,26633,0,39267,25833,30,36667,26419,30,37153
631,72,26303,33643,160,37552,13915,4232,26633,0,38554,25833,30,36208,26411,30,36412
632,72,26303,31893,160,36811,13915,4232,26633,0,38251,25833,30,35502,26411,30,36412
633,72,26389,30545,160,36811,13910,4232,26605,0,37755,25793,30,35281,26533,30,35916
634,72,26393,29625,160,36428,13889,4232,26609,0,37559,25797,30,34898,26500,30,35916
635,72,26433,28581,160,36173,13965,4232,26741,0,37475,25929,30,34898,26570,30,35661
636,72,26467,27863,160,36173,13970,4232,26735,0,37218,25933,30,34641,26566,30,35490
637,72,26635,27449,160,36173,13978,4232,26735,0,37218,25995,30,34641,26742,30,35490
638,72,26635,27449,160,36173,13978,4232,26735,0,37218,25995,30,34641,26742,30,35490
639,72,26684,27134,160,36173,13999,4232,26940,0,37218,26044,30,34641,26733,30,35490
640,72,26782,26224,160,35822,14112,4232,26938,0,37218,26142,30,34529,26873,30,35490
641,72,26870,25830,160,35822,14088,4232,27012,0,37218,26230,30,34529,26961,30,35410
642,72,26912,25465,160,35822,14105,4232,27094,0,37218,26369,30,34529,27046,30,35410
643,72,26963,25381,160,35822,14105,4232,27094,0,37218,26369,30,34529,27079,30,35410
644,72,26963,25381,160,35822,14105,4232,27094,0,37218,26369,30,34529,27079,30,35410
645,72,26963,25381,160,35822,14105,4232,27094,0,37218,26369,30,34529,27079,30,35410
646,72,26963,25381,160,35822,14105,4232,27094,0,37218,26369,30,34529,27079,30,35410
647,72,26963,25381,160,35822,14105,4232,27094,0,37218,26369,30,34529,27079,30,35410
648,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
649,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
650,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
651,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
652,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
653,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
654,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
655,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
