Iteration 1,Iteration 2,H1 Total Purchased Energy from Peers [Wh],H2 Total Purchased Energy from Peers [Wh],H3 Total Purchased Energy from Peers [Wh],H3 Total Sold Energy from Peers [Wh],H4 Total Purchased Energy from Peers [Wh],H4 Total Sold Energy from Peers [Wh],H5 Total Purchased Energy from Peers [Wh],H6 Total Purchased Energy from Peers [Wh],H6 Total Sold Energy to Peers [Wh],H7 Total Purchased Energy from Peers [Wh],H8 Total Purchased Energy from Peers [Wh],H8 Total Sold Energy to Peers [Wh],H9 Total Purchased Energy from Peers [Wh],H10 Total Purchased Energy from Peers [Wh],H10 Total Sold Energy to Peers [Wh]
123,72,27353,31625,30,36297,13814,4453,25602,0,36798,25803,30,35568,26937,246,38324
124,72,26813,31483,160,36818,13792,4583,25796,0,36250,25876,30,35429,27159,246,38275
125,72,26758,31730,160,36818,13953,4583,26057,0,36250,25395,30,35429,27026,246,38275
126,72,26352,31832,246,38229,13884,4583,26091,0,36111,25696,160,36809,26976,30,35535
127,72,25689,33136,160,36752,13961,4367,25917,0,38143,25572,30,36126,26378,30,35485
128,72,26043,33009,30,36357,13893,4368,25194,0,38478,26512,160,36856,26856,30,35668
129,72,26201,34429,30,35712,13942,4584,25893,0,36790,25150,160,37228,26820,246,38557
130,72,27036,35345,30,36865,13887,4332,25339,0,39094,25722,160,37472,26336,30,36122
131,72,27062,36946,246,39071,13887,4503,25365,0,36729,25748,30,37553,26362,160,37950
132,72,27109,36386,30,37466,13974,4234,25973,0,38996,25644,160,37908,26021,30,36723
133,72,26860,35866,30,36279,13607,4320,25774,0,37333,25337,246,38691,26035,30,37162
134,72,25626,35845,246,38644,13698,4449,25938,0,35859,25412,30,36777,26233,160,37459
135,72,26071,34426,246,38644,13955,4449,26293,0,35859,25614,30,36777,26393,160,37459
136,72,26700,33546,30,35874,13600,4233,26023,0,38224,25084,160,37059,26974,30,36757
137,72,26264,33363,30,35874,13769,4233,26057,0,38224,25564,160,37059,26910,30,36757
138,72,26622,33618,30,35874,13864,4233,25517,0,38224,25933,160,37059,26373,30,36757
139,72,26867,33014,30,35874,13645,4233,26668,0,38224,25344,160,37059,26389,30,36757
140,72,26867,33014,30,35874,13645,4233,26668,0,38224,25344,160,37059,26389,30,36757
141,72,27341,32676,30,35874,13864,4233,26167,0,38224,25816,160,37059,26063,30,36757
142,72,27406,32903,30,35874,13372,4233,25803,0,38224,25796,160,37059,26647,30,36757
143,72,27406,32903,30,35874,13372,4233,25803,0,38224,25796,160,37059,26647,30,36757
144,72,27584,32235,30,35874,13591,4233,25922,0,38224,25862,160,37055,26729,30,36757
145,72,27011,31128,246,38141,13682,4448,25932,0,35469,26395,30,36368,26787,160,36945
146,72,27251,30094,30,36147,13417,4232,25956,0,37834,26487,160,36665,26802,30,35349
147,72,27207,28586,246,37633,13604,4448,26921,0,34853,25558,30,35752,26865,160,36491
148,72,27149,26966,160,35822,13644,4232,26404,0,37218,26435,30,34529,26393,30,35410
149,72,27618,26304,160,35822,13864,4232,26126,0,37218,26196,30,34529,26883,30,35410
150,72,27269,25945,160,35822,13899,4232,26637,0,37218,26688,30,34529,26553,30,35410
151,72,27269,25989,160,35822,13899,4232,26593,0,37218,26688,30,34529,26553,30,35410
152,72,27762,25786,160,35822,13909,4232,26674,0,37218,26271,30,34529,26589,30,35410
153,72,27762,25786,160,35822,13909,4232,26674,0,37218,26271,30,34529,26589,30,35410
154,72,26963,25576,160,35822,13869,4232,27155,0,37218,26349,30,34529,27079,30,35410
155,72,26963,25276,160,35822,14145,4232,26752,0,37218,26776,30,34529,27079,30,35410
156,72,26963,25276,160,35822,14145,4232,26752,0,37218,26776,30,34529,27079,30,35410
157,72,26963,25276,160,35822,14145,4232,26752,0,37218,26776,30,34529,27079,30,35410
158,72,26963,25276,160,35822,14145,4232,26752,0,37218,26776,30,34529,27079,30,35410
159,72,26963,25276,160,35822,14145,4232,26752,0,37218,26776,30,34529,27079,30,35410
160,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
161,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
162,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
163,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
164,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
165,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
166,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
167,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
168,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
169,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
170,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
171,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
172,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
173,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
174,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
175,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
176,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
177,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
178,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
179,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
180,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
181,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
182,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
183,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
184,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
185,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
186,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
187,72,26963,25240,160,35822,14145,4232,27187,0,37218,26377,30,34529,27079,30,35410
188,72,26953,25291,160,36016,14135,4448,27177,0,34859,26367,30,35083,27069,246,37022
189,72,26953,25291,160,36016,14135,4448,27177,0,34859,26367,30,35083,27069,246,37022
190,72,26953,25291,160,36016,14135,4448,27177,0,34859,26367,30,35083,27069,246,37022
191,72,27365,25311,160,36016,14135,4448,26750,0,34859,25905,30,35083,27526,246,37022
192,72,27365,25407,160,36016,14039,4448,26750,0,34859,25905,30,35083,27526,246,37022
193,72,27355,25491,160,36011,13996,4448,26740,0,34955,25895,246,36798,27516,30,35217
194,72,27345,25559,246,37009,13986,4448,26730,0,35615,25885,160,35652,27506,30,34723
195,72,27345,25559,246,37009,13986,4448,26730,0,35615,25885,160,35652,27506,30,34723
196,72,27267,26100,160,35488,13976,4447,26652,0,35318,25807,246,37048,27428,30,35365
197,72,27231,26822,246,37446,13915,4448,26616,0,35735,25771,31,34977,27392,160,35578
198,72,27221,27539,246,37329,13824,4448,26606,0,35923,25761,160,36019,27382,30,35050
199,72,27211,28289,30,35197,13814,4232,26596,0,37772,25751,30,35697,27372,160,36355
200,72,27188,29775,30,36217,13804,4448,26573,0,35785,25728,246,37721,27349,160,36682
201,72,27118,31143,160,36987,13794,4232,26503,0,38355,25658,30,35646,27279,30,36495
202,72,27060,32520,30,36725,13778,4318,26445,0,37465,25600,246,38316,27221,30,36106
203,72,27040,34008,246,38771,13664,4318,26425,0,37732,25580,30,36279,27201,30,37124
204,72,26618,35758,30,36856,13664,4318,26842,0,38163,26020,30,37384,26734,246,39221
205,72,26658,37257,160,38481,13794,4448,26882,0,38181,26020,246,39441,26774,30,37270
206,72,26613,39004,246,40023,13756,4448,26837,0,37854,25975,160,38695,26729,30,38330
207,72,26523,40717,30,38767,13726,4318,26747,0,39371,25885,246,40247,26639,30,37840
208,72,26873,42447,30,39223,13669,4232,25808,0,40882,25827,160,39375,27095,30,38227
209,72,26944,44141,30,39465,13676,4232,26587,0,41290,25777,30,38492,26167,160,40033
210,72,27121,44978,160,40504,13911,4448,26445,0,39229,26189,30,39661,26382,246,41620
211,72,27024,45049,160,40681,14267,4514,26730,0,42170,26357,30,39113,27331,30,40500
212,72,26993,46614,30,39701,14204,4514,27217,0,42566,26371,30,40436,27109,160,41511
213,72,27863,48082,160,41541,14265,4998,26790,0,40865,26341,246,42674,26697,30,40396
214,72,27412,49047,30,40512,14188,4868,27150,0,41902,25932,246,42574,27086,30,41265
215,72,27372,50309,30,40506,14084,4940,27174,0,41551,26377,160,41911,26664,246,43508
216,72,27308,51645,30,40798,14119,4724,26600,0,43503,26801,160,42219,26557,30,42006
217,72,26865,52046,160,42295,14168,5043,27089,0,41843,26247,246,43479,26981,30,41172
218,72,27385,52395,160,42435,14135,4827,26770,0,43969,25837,30,41213,27546,30,41844
219,72,27852,53019,30,41352,14054,5333,26780,0,43941,25885,30,41760,27099,160,42523
220,72,27346,53569,30,42097,14129,5046,26670,0,43010,26824,30,41226,26607,246,44072
221,72,27792,53540,160,42591,14170,5244,26721,0,42099,25824,246,43500,26198,30,41247
222,72,26840,53788,246,43663,14070,5244,26234,0,41138,26277,30,41741,26593,160,42452
223,72,27001,53459,246,43454,14127,5798,26635,0,41231,25861,160,42181,26940,30,41795
224,72,27642,53491,30,41697,14073,5619,26304,0,42147,25885,30,41276,26743,246,43705
225,72,27552,52164,160,41941,14033,5516,26323,0,40902,25931,246,43115,26653,30,41618
