Winter1jan;Winter2jan;Winter3Jan;Winter4Jan;Winter5Dec;Winter6jan;Winter7jan;Winter8Dec;Winter9Dec;Winter10Dec;Summer1Jul;Summer2Jul;Summer3Jul;Summer4Jul;Summer5Ag;Summer6Jul;Summer7Jul;Summer8Jul;Summer9Jul;Summer10Ag
-360,3759397;-272,5521974;-1807,17593986;-294,917746453333;-341,557075733333;-710,029273033333;-2595,5182476;-519,618864066667;-895,57593974;-536,587690213334;-2351,504578;-597,744524573333;-495,583612526667;-969,890408933333;-519,490409066667;-265,136610473333;-2218,19798489333;-645,62374232;-1644,56091208;-264,490409066667
-284,3759397;-354,2960457;-354,007113553333;-405,3759397;-425,490409066667;-501,442606366667;-2776,04260666667;-954,95219732;-947,309273093333;-490,442606366667;-550,485530706667;-508,3759397;-533,029273033333;-2581,35707533333;-1009,77593978;-383,709273033333;-751,842606426666;-444,423742373333;-1929;-333,8237424
-297,222941753333;-490,3759397;-409,5521974;-497,3759397;-528,8237424;-558,282518333333;-511,1759397;-2762,61886369333;-429,642606366667;-548,3759397;-526,058193293334;-529,709273033334;-1084,01593978;-2585,823742;-1068,44260644667;-477,23070204;-397,3759397;-418,905995946667;-318,160912106667;-324,890409066667
-227,5521974;-328,042606366667;-342,24175792;-550,3759397;-414,36882624;-971,691579413333;-535,3759397;-560,67412752;-638,264524573333;-758,109273073333;-658,3759397;-634,27245988;-559,35245988;-2735,17854066667;-527,242606366667;-425,490409066667;-360,242606366667;-404,32;-425,490409066667;-481,8237424
-163,184065786667;-94,7092730613334;-172,333333333333;-228,3759397;-463,266666666667;-1622,10055412;-576,709273033334;-635,309273033333;-629,81119124;-741,642606386667;-519,095353753333;-599,709273033333;-1731,988185;-1209,66610747333;-601,3759397;-1061,10215946667;-566,042606366667;-364;-951,807808086667;-407,8237424
-218,333333333333;-84,37593973;-339,333333333333;-112,974831382667;-329,666666666667;-1327,77418057333;-1182,10927311333;-566,442606366667;-645,3759397;-1008,50927309333;-559,709273033334;-575,7601115;-1707,32151833333;-695,44644278;-609,709273033333;-403,333333333333;-462,7280892;-282,333333333333;-636,709273033333;-294,157075733333
-41;-62,2916233486667;-158,466666666667;-41;-241;-1062,919418;-574,5759397;-668,642606386667;-565,1759397;-595,936610473333;-632,042606366667;-649,042606366667;-1907,4037716;-660,309273033333;-583,814767806667;-400;-281,333333333333;-774,066666666667;-879,599440786667;-244,941247466667
-41;-129,666666666667;-41;-41;-354,666666666667;-960,252751333333;-576,462029706667;-935,17593976;-548,3759397;-536,5521974;-898,442606426666;-495,042606366667;-2460,07043826667;-508,042606366667;-505,92722222;-552;-362;-355;-272,5521974;-329,733333333333
-185,666666666667;-375,666666666667;-185,666666666667;-350,333333333333;-407,6;-952,919418;-516,877857906667;-528,542962953333;-548,3759397;-936,35219732;-579,842606366667;-596,309273033333;-1603,21107873333;-859,442606426666;-918,909273093333;-412,666666666667;-362;-411,18441312;-369,3521974;-552
-144,333333333333;-144,333333333333;-144,333333333333;-258,333333333333;-450,666666666667;-943,386084666666;-503,109273033333;-572,7680256;-561,87568914;-541,948360986667;-682,362606366667;-720,628687086667;-1736,388185;-603,5759397;-949,05435694;-475,666666666667;-501;-439,090409066667;-505,11538424;-564,333333333333
-231;-41;-117;-41;-352;-995,266084666666;-576,709273033334;-759,042606366667;-499,1411415;-684,042606366667;-535,3759397;-594,8237424;-1702,65485166667;-616,042606366667;-638,28169432;-472,133333333333;-662,133333333333;-508,157075733333;-597,666666666667;-527,088394113334
-129,666666666667;-41;-231;-41;-162;-957,766664353333;-685,709273033333;-571,6959397;-365,709273033333;-649,709273033333;-576,709273033334;-657,191873933333;-1255,07662021333;-572,7680256;-591,3759397;-362;-714,380576666667;-373,8237424;-539,333333333333;-805,17593976
-41;-41;-53,6666666666667;-41;-166,533333333333;-575,111287986667;-626,123038493333;-535,3759397;-413,3759397;-542,709273033334;-649,042606366667;-1273,10927311333;-608,3759397;-649,042606366667;-584,509273033333;-300,490409066667;-52,82374237;-186,490409066667;-162;-217,642606414667
-92,6666666666667;-270;-92,6666666666667;-156;-196;-516,44462132;-516,035492906667;-935,17593976;-413,3759397;-1068,44260644667;-483,642606366667;-571,7759397;-619,999440726667;-631,05158096;-524,709273033333;-325,8237424;-52,82374237;-357,517746453333;-57,1333333333333;-173,042606382667
-196;-297,333333333333;-196;-386;-113,333333333333;-524,340446886667;-516,8237424;-412,27245988;-413,3759397;-535,3759397;-505,1759397;-565,642606366667;-1159,87362632;-921,474474753333;-413,3759397;-194,490409066667;-73,4904090406667;-169,933333333333;-61,6666666666667;-290,313109446666
-171;-82,3333333333333;-82,3333333333333;-107,666666666667;-218,333333333333;-523,5521974;-484,557075733333;-482,8237424;-469,3759397;-501,311287986667;-427,3759397;-450,042606366667;-1459;-645,3759397;-986,72485988;-240,090409066667;-321,8237424;-196;-196;-214,93131844
-231;-41;-205,666666666667;-41;-142,333333333333;-595,007113553333;-434,557075733333;-377,157075733333;-405,490409066667;-374,00407776;-821,658193353333;-399,65158096;-689,282494933333;-545,5521974;-589,5521974;-122,792327243333;-283,517746453333;-113,333333333333;-303,333333333333;-113,333333333333
-41;-41;-155;-41;-41;-759,042606366667;-591,8237424;-182,8237424;-128,015828260667;-221,533333333333;-517,109273033334;-417,851079786667;-424,157075733333;-564,885530733333;-564,885530733333;-66,3333333333333;-41;-41;-129,666666666667;-41
-41;-117;-41;-41;-123,666666666667;-430,509273033333;-304,8237424;-95,184413116;-49;-49;-443,111287986667;-284,666666666667;-296,490409066667;-437,218864066667;-433,011904413333;-231;-41;-142,333333333333;-41;-41
-154,666666666667;-344,666666666667;-154,666666666667;-306,666666666667;-196;-406,242606366667;-260,8237424;-49;-49;-49;-404,8237424;-215;-182,8237424;-313,034798266667;-130,066666666667;-104,333333333333;-41;-218,333333333333;-41;-218,333333333333
-175,333333333333;-188;-175,333333333333;-302;-127,333333333333;-292,3759397;-260,8237424;-56,3333333333333;-49;-49;-353,580576746667;-185;-292,8237424;-349,933333333333;-71;-123,666666666667;-136,333333333333;-123,666666666667;-123,666666666667;-225
-218,333333333333;-41;-104,333333333333;-41;-231;-292,3759397;-260,8237424;-200,333333333333;-163,666666666667;-119,666666666667;-292;-49;-106,674580798;-219,933333333333;-159;-196;-386;-196;-284,666666666667;-196
-142,333333333333;-41;-231;-41;-53,6666666666667;-420,13277406;-335,90983232;-184,666666666667;-228,666666666667;-272,666666666667;-219,4;-49;-49;-49;-56,3333333333333;-51,3333333333333;-127,333333333333;-51,3333333333333;-241,333333333333;-51,3333333333333
-41;-41;-66,3333333333333;-41;-41;-418,206959653333;-458;-49;-49;-49;-114,733333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-155;-41;-41;-41;-41
-61,6666666666667;-226,333333333333;-61,6666666666667;-112,333333333333;-185,666666666667;-249;-249;-49;-49;-49;-199,333333333333;-162,666666666667;-162,666666666667;-162,666666666667;-162,666666666667;-205,666666666667;-41;-231;-41;-117
-196;-310;-196;-386;-144,333333333333;-648,8;-249;-49;-49;-49;-151,666666666667;-151,666666666667;-107,666666666667;-63,6666666666667;-49;-41;-41;-129,666666666667;-41;-231
-189,333333333333;-113,333333333333;-113,333333333333;-151,333333333333;-205,666666666667;-249;-249;-115;-71;-49;-49;-85,6666666666667;-129,666666666667;-159;-129,666666666667;-185,666666666667;-287;-185,666666666667;-185,666666666667;-198,333333333333
