winter_pro1_no_EV,winter_pro2_no_EV,winter_pro3_no_EV,winter_pro4_no_EV,winter_pro5_no_EV
-106.6737424,61.15,-18.25,-326.807075653333,-41.85
-18.426498986667,175.15,-617.020146493333,76.739590933333,84.816666666667
132.78525152,175.15,0.597802599999966,164.902756586667,125.011721906667
1767.91929796,1712.55,1661.92322183333,1759.06941402667,1744.73113593333
1696.70739363333,1576.45666666667,1623.5740603,1427.36638747333,1609.53113593333
1573.24072696667,1615.71,1565.5740603,1414.7740603,1566.06446926667
1025.64072690667,1772.47838857333,1609.04072696667,1591.24072696667,1523.1978026
-376.115027653333,-194.8521974,-374.0759397,-235.002313393333,-300.017399133333
-308.0521974,-212.718864066667,-100.915027653333,-167.3237424,-289.5
-308.0521974,-382.0521974,-201.0521974,-245.743165653333,-309.3
-421.718864066667,-368.385530733333,-312.5,-996.96283024,-284.166666666667
-569.618864066667,-374.685530733333,-389.333333333333,-411.690409066667,-395.933333333333
-379.598332426667,-232.025216553333,-437.266666666667,-333.8237424,-210.333333333333
-328.357075733333,-219.13418186,-249.666666666667,-667.023742346667,-171.333333333333
-381.490409066667,-856.17593976,-560.8,-2832.823742,-251.333333333333
-407.490409066667,-2981.37594,-181.666666666667,-3026.88249466667,-390.866666666667
-679.15707568,-2950.50927333333,-436.8,-3567.2,-550.533333333333
-1629.06283013333,-2876.77594,-517.666666666667,-2769.88633122667,-662.354212293333
-1443.51774626667,-2906.34044653333,-552,-373.8237424,-405.685530733333
-269.557075733333,-945.110439453333,-378.827838613333,-373.8237424,-414.434692266667
-265.8237424,-552,-393.5521974,-2250.15707544,-470.042606366667
-348.490409066667,-533.333333333333,-411.685530733333,-3027.09040866667,-562.709273033333
-522.157075733333,-481,-508.218864066667,-3465.03453813333,-486.260555553333
-443.957075733333,-264.333333333333,-579.11538424,-2794.88553033333,-378.957075733333
-241,-254,-468.851079786667,-2784.552197,-386.035492906667
-303.774831386667,-407.2,-375.92722222,-285.5521974,-375
-418.3759397,-564.503479826667,-405.3759397,-435.611904413333,-488.666666666667
-563.042606366667,-538.218864066667,-550.042606366667,-905.777106093334,-603.992327253333
-711.709273033333,-508.709273033334,-559.721023546667,-375.885530733333,-507.357075733333
-496.642606366667,-405.3759397,-595.3759397,-283.587690213333,-373.8237424
-264.922084,-480.242606366667,-394.904328346667,-284.3759397,-373.8237424
-248.09424544,-609.873888886667,-390.65158096,-363.842606366667,-927.239329253333
-304.490409066667,-1093.86304776,-457.042606366667,-647.042606366667,-541.8237424
-519.628687086667,-644.28169432,-546.791526626667,-948.17806062,-636.490409066667
-515.709273033334,-1034.37593978,-599.5521974,-403.333333333333,-431.690409066667
-284.3759397,-405.3759397,-507.5521974,-362,-363.181727446667
-284.3759397,-481.3759397,-378.827838613333,-265.2,-465.309943806667
-284.3759397,-572.23766168,-364.103479826667,-415.872565873333,-476.218864066667
-370.697368706667,-499.36882624,-507.218864066667,-524.709273033333,-1024.35219732
-1053.02374232,-391.466666666667,-591.034692266667,-418.709273033333,-593.885530733333
-472.792327253333,-264.138278093333,-474.3759397,-284.3759397,-358.33695778
-173.8237424,-72.55219735,-105.502313411333,-84.37593973,-405.3759397
-173.8237424,-237.21886406,-52.82374237,-122.160458804667,-405.3759397
-194.490409066667,-207.218864053333,-73.4904090406667,-251.666666666667,-949.842606426666
-283.8237424,-227.5521974,-207.8237424,-234,-1073.17593976
-315.157075733333,-113.333333333333,-266.90983232,-113.333333333333,-415.755166746667
-54.45491616,-41,-167.666666666667,-41,-241
-41,-104.333333333333,-41,-41,-241
-41,-231,-41,-180.333333333333,-292.666666666667
-123.666666666667,-149,-123.666666666667,-263,-572.266666666667
-360.666666666667,-196,-246.666666666667,-196,-460
