Winter1jan,Winter2jan,Winter3Jan,Winter4Jan,Winter5Dec,Winter6jan,Winter7jan,Winter8Dec,Winter9Dec,Winter10Dec,Summer1Jul,Summer2Jul,Summer3Jul,Summer4Jul,Summer5Ag,Summer6Jul,Summer7Jul,Summer8Jul,Summer9Jul,Summer10Ag
-378.6666667,-704.8,-2764.223742,-214,-444,-654.8768116,-372.3333333,-3048.433888,-930.5333333,-370.4666667,-144.3333333,-140.3028986,-591.1333333,-1258.890409,-49,-41,-257.8576921,-63.4589939,-650.8,-54
-315.8666667,-305,-3314.623742,-214,-392.8431657,-759.7434783,-446.4,-2264.900554,-2730,-249,-136.9333333,-595.8768116,-200.3333333,-296.4904091,-119.6666667,-440.8,-174.218864,-56.29040904,-365,-451.2
-319,-1048.533333,-1980.800848,-373.5084246,-400.1570757,-736.410145,-613.6956522,-1217.512304,-490.2666667,-245.6666667,-175.6666667,-580.210145,-1304.2,-761.290409,-277.8666667,-142.3333333,-85.55219735,-52.82374237,-181.6,-584.4666667
-280.3333333,-1688,-351.2502792,-2373.88553,-228.4904091,-841.210145,-710.410145,-673.7434783,-267.6666667,-1391.533333,-62,-461.3434783,-2527.933333,-148.0431657,-62,-1419.666667,-231.4855307,-346.4904091,-275.6666667,-231
-161,-1465.466667,-251.8581933,-1478.552197,-793.5570756,-752.5434783,-1468.284975,-1257.792196,-541.8,-2102,-1821.266667,-453.5434783,-464.9333333,-171,-195.2666667,-1649.441758,-340.8855307,-304.4904091,-231.8,-378.3333333
-227.8,-174,-257.3759397,-243.2188641,-417.8237424,-1028.410145,-1751.089056,-2705.362343,-1498.333333,-274,-1708.72566,-453.5434783,-305.8666667,-178.8,-461.8,-609.4855307,-1063.266667,-86.25001934,-263,-77.6
-1296.866667,-2339.8,-456.0426064,-213.8855307,-407.9570757,-2861.743478,-1785.489056,-840.7623423,-988.2666667,-375.6666667,-157.8904091,-723.4768116,-581.7733333,-206,-59.4,-176.5521974,-497.4,-133.5521974,-593.2,-41
-251,-3253.404077,-568.509273,-225.2875456,-565.552998,-363.5753623,-1330.203342,-463.460893,-1948.066667,-896.5333333,-115.1570757,-2923.210145,-453.0133333,-335.3333333,-296.1020509,-1379.68553,-695.0666667,-116.1601115,-287.5059959,-41
-451.7066667,-2924.0655,-915.5598516,-316,-1555.666667,-224.0354929,-2217.563143,-330.7771061,-1580.096599,-2412.8,-187.4904091,-1464.543478,-288.6,-231.8,-245.5521974,-1601.827838,-93.93333333,-194.0426064,-207.4904091,-1952.533333
-356.68,-3515.65594,-455.2,-371.0666667,-1462,-297.4904091,-1548.367221,-171.1034798,-1744.612245,-250.3333333,-73.82374237,-2648.464478,-62,-78.33131841,-1211.352197,-284.6666667,-325.6666667,-2175.36202,-341.8237424,-1671.364748
-282.7882495,-779.1759398,-437.0354929,-501.6,-254.3688262,-220.8237424,-735.7124583,-474.9680256,-1360.49474,-203.3701465,-593.0980818,-1410.757076,-1250.733333,-80.55219735,-1373.018864,-113.3333333,-247.3333333,-1099.16898,-198.3570757,-372.8237424
-445.8237424,-197.3995467,-475.8237424,-362,-374.9570757,-285.6904091,-737.9802876,-435.7759397,-1405.76932,-317.8188641,-151.6666667,-418.0904091,-1132.933333,-80.55219735,-64.10347982,-46.2,-352.3333333,-216.7994407,-132.290409,-173.8237424
-447.8356467,-198.9716022,-716.1437424,-378,-1626.290409,-357.1570757,-428.709273,-470.0426064,-1192.739388,-839.3836124,-85.66666667,-458.1570757,-195.1382781,-245.4543569,-145.3333333,-320.5333333,-695.5827456,-2769.552197,-1690.317746,-173.8237424
-326.109273,-331.0426064,-559.6904091,-1118.453333,-2768.890409,-433.4405436,-590.3051953,-500.8426064,-441.9570757,-392.709273,-93.48633131,-351.0628303,-198.3521974,-312.2724599,-424.4,-523.5412475,-218.3759397,-2692.552197,-2705.090409,-173.8237424
-338.709273,-491.3759397,-476.4275788,-566.3866667,-2647.157075,-1325.011191,-527.4945053,-456.3988336,-400.9570757,-470.709273,-622.8237423,-319.0040778,-329.2188641,-296.4904091,-283.6666667,-2138.063742,-228.4426064,-2937.782051,-2768.490409,-307.1570757
