summer_pro1_no_EV,summer_pro2_no_EV,summer_pro3_no_EV,summer_pro4_no_EV,summer_pro5_no_EV
-1131.17702713333,-182.040409066667,-556.55434786,-1304.89930853333,-241.659273033333
-1611.78110866667,-342.682166906667,-749.980416746666,-1355.64777533333,-1442.49810095333
-1861.63884786667,-494.3759397,-3620.45275133333,-929.567408466667,-2160.30927323333
-1688.804119,-793.869943846667,-2231.919418,-487.9759397,-888.77593978
-592.08342272,-4163.77594,-2189.65275133333,-563.709273033334,-524.3759397
-1052.30927311333,-5507.69594,-859.306084666667,-484.509273033333,-786.53246146
-814.17593976,-1868.70927323333,-933.60897852,-495.3759397,-952.919418
-510.709273033333,-576.709273033334,-970.7353522,-459.242606366667,-994.252751333333
-759.042606366667,-664.105195346667,-1105.37275133333,-530.3759397,-1154.90608466667
-550.042606366667,-582.218864066667,-1042.58608466667,-530.042606366667,-2129.19832966667
-535.3759397,-525.91694586,-2059.45275133333,-576.9759397,-2151.19832966667
-535.3759397,-535.3759397,-2379.319418,-648.3759397,-2558.651663
-535.3759397,-535.3759397,-1339.719418,-534.818864066667,-1618.286765
-650.042606366667,-606.042606366667,-972.838832133333,-577.885530733333,-981.252751333333
-1223.90927311333,-742.214767806667,-967.3225956,-677.1521974,-1060.919418
-447.615027653333,-503.8237424,-457.587690213333,-488.866107393334,-851.361733706666
-531.16898006,-503.035492906667,-1474.99152655333,-420.442606366667,-390.835646726667
-445.909273033333,-451.911287986667,-814.17593976,-458.5359397,-292.3759397
-435.3759397,-947.442606446666,-414.3759397,-480.6159397,-355.328696373333
-564.709273033334,-527.442606366667,-605.902313393333,-455.709273033333,-443.885530733333
-515.877857906667,-457.3759397,-615.242606366667,-637.25435688,-573.80494476
-392.3411415,-279.75506078,-291.83852868,-431.885530733333,-444.333333333333
-381.8237424,-260.8237424,-412.9521974,-802.35219732,-314.066666666667
-381.8237424,-250.576498986667,-415.5521974,-535.81886404,-249
-462.490409066667,-429.80494476,-415.5521974,-373.103479826667,-249
-457.6237424,-545.5521974,-540.62087896,-405.933333333333,-305
-363.45491616,-515.218864066667,-701,-472.782050906667,-472.666666666667
-249,-668.08553068,-382.266666666667,-280.5521974,-263.666666666667
-249,-502.552197373334,-249,-280.5521974,-249
-278.333333333333,-270.034798266667,-249,-280.5521974,-249
-357.6,-342.933333333333,-298.933333333333,-286.485530733333,-247.6
-288.933333333333,-332.933333333333,-379.298081813333,-428.382050906667,-362.266666666667
-361.266666666667,-361.266666666667,-373.090409066667,-383.266666666667,-427.266666666667
-247.6,-247.6,-284.66550024,-247.6,-247.6
-223.85,-223.85,-267.2259397,-223.85,-223.85
-311.85,-267.85,-267.2259397,-223.85,-223.85
-275.183333333333,-319.183333333333,-771.508193213333,-289.85,-245.85
-265.183333333333,-265.183333333333,-326.068864066667,-338.516666666667,-375.183333333333
-233.216666666667,-233.216666666667,-258.458424586667,-233.216666666667,-240.55
-119.55,-119.55,-119.55,-119.55,-119.55
-89.55,-52.883333333333,-52.883333333333,-52.883333333333,-52.883333333333
-22.216666666667,-22.216666666667,21.783333333333,65.7833333333333,80.45
690.7,654.033333333333,610.033333333333,580.7,610.033333333333
649.366666666667,649.366666666667,649.366666666667,634.7,590.7
577.033333333333,574.366666666667,566.366666666667,577.033333333333,563.7
664.033333333333,634.7,114.966666666667,678.566666666667,624.033333333333
166.766666666667,210.766666666667,254.766666666667,249.1,262.1
218.1,174.1,152.1,175.766666666667,232.766666666667
262.1,262.1,240.1,183.1,152.1
220.766666666667,220.766666666667,-1283.37246373333,213.833333333333,220.766666666667
238.533333333333,238.533333333333,-2389.01014466667,238.533333333333,238.533333333333
